id,name,public,file_size_limit,allowed_mime_types,created_at,updated_at
generated_resumes,generated_resumes,false,5242880,"[""application/vnd.openxmlformats-officedocument.wordprocessingml.document""]",2026-05-06 22:12:19.344627+00,2026-05-06 22:12:19.344627+00
master-resume,master-resume,false,5242880,"[""application/vnd.openxmlformats-officedocument.wordprocessingml.document""]",2026-04-18 12:40:24.545862+00,2026-04-18 12:40:24.545862+00
